"","ID","Increased_Work_Hours","Work_From_Home","Hours_Worked_Per_Day","Meetings_Per_Day","Productivity_Change","Stress_Level","Health_Issue","Job_Security","Childcare_Responsibilities","Commuting_Changes","Technology_Adaptation","Salary_Changes","Team_Collaboration_Challenges","Sector","Affected_by_Covid"
"72",72,"Maintien ou une diminution","Oui",16.96,6.26,"Augmentation ou une diminution de la productivité","Low","Oui","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Non","Education","Oui"
"73",73,"Maintien ou une diminution","Oui",10.04,5.13,"Augmentation ou une diminution de la productivité","Medium","Oui","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"74",74,"augmentation","Oui",9.73,2.33,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Non","IT","Oui"
"75",75,"augmentation","Oui",6.76,6.27,"Aucun changement","Low","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Augmentation ou diminution","Oui","Retail","Oui"
"76",76,"augmentation","Oui",11.14,4.68,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Augmentation ou diminution","Oui","Retail","Oui"
"77",77,"augmentation","Oui",10.2,4.99,"Aucun changement","High","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"78",78,"Maintien ou une diminution","Oui",11.77,4.67,"Aucun changement","High","Non","Moindre sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Retail","Oui"
"79",79,"augmentation","Non",11.67,1.74,"Aucun changement","Medium","Oui","Plus de sécurité","augmentation responsabilités","changements","Non","Salaire inchangé","Oui","Retail","Oui"
"80",80,"Maintien ou une diminution","Oui",5.05,2.21,"Augmentation ou une diminution de la productivité","High","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Augmentation ou diminution","Oui","Healthcare","Oui"
"81",81,"Maintien ou une diminution","Oui",5.79,3.24,"Augmentation ou une diminution de la productivité","Low","Oui","Plus de sécurité","augmentation responsabilités","changements","Non","Salaire inchangé","Oui","Education","Oui"
"82",82,"augmentation","Oui",6,4.97,"Augmentation ou une diminution de la productivité","Low","Non","Plus de sécurité","augmentation responsabilités","absence de changement","Non","Salaire inchangé","Oui","Retail","Oui"
"83",83,"augmentation","Oui",6.12,1.93,"Aucun changement","Low","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Augmentation ou diminution","Oui","Retail","Oui"
"84",84,"Maintien ou une diminution","Oui",8.65,3.74,"Aucun changement","Medium","Oui","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Retail","Oui"
"85",85,"augmentation","Non",6.87,3.74,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","IT","Oui"
"86",86,"augmentation","Oui",12.15,5.19,"Augmentation ou une diminution de la productivité","Low","Oui","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Non","IT","Oui"
"87",87,"augmentation","Oui",11.81,5.02,"Aucun changement","Low","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Non","IT","Oui"
"88",88,"augmentation","Oui",7.99,2.49,"Aucun changement","High","Oui","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Augmentation ou diminution","Oui","Healthcare","Oui"
"89",89,"augmentation","Oui",11.92,6.18,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","aucun changement ou diminution","changements","Oui","Augmentation ou diminution","Oui","Education","Oui"
"90",90,"Maintien ou une diminution","Oui",10.98,2.26,"Aucun changement","High","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Augmentation ou diminution","Oui","Education","Oui"
"91",91,"Maintien ou une diminution","Oui",7.1,5.64,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Non","Education","Oui"
"92",92,"augmentation","Non",3.99,3.18,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Non","Education","Oui"
"93",93,"augmentation","Oui",7.57,4.25,"Aucun changement","High","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Education","Oui"
"94",94,"augmentation","Oui",6.72,4.34,"Aucun changement","High","Oui","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"95",95,"augmentation","Oui",8.42,4.3,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"96",96,"augmentation","Oui",8.18,5.02,"Aucun changement","Low","Non","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","Retail","Oui"
"97",97,"augmentation","Oui",8.13,4.59,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Augmentation ou diminution","Oui","Retail","Oui"
"98",98,"augmentation","Oui",9.05,5.18,"Augmentation ou une diminution de la productivité","Medium","Oui","Plus de sécurité","augmentation responsabilités","changements","Oui","Augmentation ou diminution","Non","Retail","Oui"
"99",99,"Maintien ou une diminution","Oui",5.58,4.7,"Augmentation ou une diminution de la productivité","Medium","Oui","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","Education","Oui"
"100",100,"Maintien ou une diminution","Non",8.83,2.11,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Augmentation ou diminution","Oui","Healthcare","Oui"
"101",101,"Maintien ou une diminution","Oui",7.13,4.41,"Augmentation ou une diminution de la productivité","Low","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"102",102,"Maintien ou une diminution","Oui",8.4,3.16,"Augmentation ou une diminution de la productivité","Medium","Oui","Plus de sécurité","aucun changement ou diminution","changements","Oui","Augmentation ou diminution","Oui","IT","Oui"
"103",103,"augmentation","Oui",9.92,2.34,"Aucun changement","Medium","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Education","Oui"
"104",104,"augmentation","Oui",5.56,3.57,"Augmentation ou une diminution de la productivité","High","Non","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"105",105,"augmentation","Oui",7.44,4.28,"Augmentation ou une diminution de la productivité","High","Non","Plus de sécurité","augmentation responsabilités","changements","Non","Augmentation ou diminution","Oui","IT","Oui"
"106",106,"Maintien ou une diminution","Oui",7.77,4.38,"Aucun changement","Medium","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Non","Healthcare","Oui"
"107",107,"augmentation","Oui",6.98,5.59,"Aucun changement","Medium","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Augmentation ou diminution","Oui","Healthcare","Oui"
"108",108,"augmentation","Oui",9.8,5.97,"Augmentation ou une diminution de la productivité","Low","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","IT","Oui"
"109",109,"Maintien ou une diminution","Oui",6.56,4.51,"Aucun changement","Medium","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Oui","Retail","Oui"
"110",110,"Maintien ou une diminution","Non",6.89,4.78,"Augmentation ou une diminution de la productivité","Low","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"111",111,"Maintien ou une diminution","Oui",6.59,4.15,"Augmentation ou une diminution de la productivité","High","Non","Plus de sécurité","aucun changement ou diminution","changements","Non","Augmentation ou diminution","Oui","Education","Oui"
"112",112,"Maintien ou une diminution","Non",10.19,5.16,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","augmentation responsabilités","absence de changement","Non","Salaire inchangé","Non","Education","Oui"
"113",113,"augmentation","Oui",7.02,4.74,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Augmentation ou diminution","Oui","Education","Oui"
"114",114,"augmentation","Oui",8.93,3.92,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Oui","Retail","Oui"
"115",115,"augmentation","Non",11.96,7.23,"Augmentation ou une diminution de la productivité","Low","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","IT","Oui"
"116",116,"augmentation","Non",7.86,3.19,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","IT","Oui"
"117",117,"Maintien ou une diminution","Non",10.23,6.19,"Augmentation ou une diminution de la productivité","High","Non","Moindre sécurité","augmentation responsabilités","absence de changement","Non","Salaire inchangé","Non","IT","Oui"
"118",118,"Maintien ou une diminution","Oui",11.35,1.97,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","augmentation responsabilités","changements","Oui","Augmentation ou diminution","Oui","Healthcare","Oui"
"119",119,"augmentation","Non",10.06,5.23,"Aucun changement","Medium","Oui","Moindre sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Non","Retail","Oui"
"120",120,"augmentation","Oui",7.97,6.16,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"121",121,"augmentation","Non",9.29,1.14,"Aucun changement","Medium","Oui","Plus de sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Non","Healthcare","Oui"
"122",122,"augmentation","Oui",5.43,4.21,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","augmentation responsabilités","absence de changement","Non","Salaire inchangé","Oui","Retail","Oui"
"123",123,"augmentation","Oui",6.44,5.08,"Aucun changement","Low","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"124",124,"Maintien ou une diminution","Oui",6.8,4.38,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Non","Healthcare","Oui"
"125",125,"Maintien ou une diminution","Non",12.49,4.57,"Augmentation ou une diminution de la productivité","High","Oui","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Non","Education","Oui"
"126",126,"augmentation","Oui",6.38,4.21,"Augmentation ou une diminution de la productivité","High","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Non","Education","Oui"
"127",127,"augmentation","Oui",6.35,2.36,"Augmentation ou une diminution de la productivité","Low","Non","Moindre sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Non","Education","Oui"
"128",128,"augmentation","Oui",5.92,7.56,"Augmentation ou une diminution de la productivité","Low","Non","Plus de sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Oui","IT","Oui"
"129",129,"Maintien ou une diminution","Oui",9.12,3.25,"Aucun changement","High","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Oui","Education","Oui"
"130",130,"augmentation","Oui",8.29,4.66,"Aucun changement","Medium","Non","Moindre sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Non","Healthcare","Oui"
"131",131,"augmentation","Oui",10.18,3.03,"Aucun changement","High","Non","Moindre sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"132",132,"Maintien ou une diminution","Oui",9.35,0.59,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"133",133,"augmentation","Oui",5.24,2.62,"Augmentation ou une diminution de la productivité","Medium","Oui","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","IT","Oui"
"134",134,"augmentation","Oui",6.39,1.83,"Aucun changement","Medium","Non","Moindre sécurité","augmentation responsabilités","changements","Oui","Augmentation ou diminution","Oui","Healthcare","Oui"
"135",135,"augmentation","Non",10.74,5.64,"Augmentation ou une diminution de la productivité","Low","Non","Moindre sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Oui","Retail","Oui"
"136",136,"augmentation","Non",7.6,3.09,"Augmentation ou une diminution de la productivité","Medium","Oui","Plus de sécurité","augmentation responsabilités","absence de changement","Non","Salaire inchangé","Non","Retail","Oui"
"137",137,"augmentation","Non",10.38,3.23,"Augmentation ou une diminution de la productivité","Low","Non","Plus de sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Non","IT","Oui"
"138",138,"Maintien ou une diminution","Oui",7.71,2.41,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","absence de changement","Non","Salaire inchangé","Oui","Education","Oui"
"139",139,"augmentation","Oui",6.07,4.15,"Aucun changement","High","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Oui","IT","Oui"
"140",140,"augmentation","Oui",7.4,2.93,"Aucun changement","Medium","Non","Moindre sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Retail","Oui"
"141",141,"augmentation","Non",6.07,5.49,"Augmentation ou une diminution de la productivité","Low","Non","Plus de sécurité","aucun changement ou diminution","changements","Non","Augmentation ou diminution","Oui","Healthcare","Oui"
"142",142,"Maintien ou une diminution","Oui",6.87,4.46,"Aucun changement","High","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Education","Oui"
"143",143,"augmentation","Oui",8.41,3.15,"Augmentation ou une diminution de la productivité","Low","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","IT","Oui"
"144",144,"augmentation","Oui",9.03,5.28,"Augmentation ou une diminution de la productivité","Medium","Oui","Moindre sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Oui","IT","Oui"
